-0,-1.67,-0.38,2.52,-0.49,-2.05,-0.52,-0.24,-0.06,-0.04,0.54
-0,0.1,0.1,-0.27,0.05,0.01,0.1,-0.04,-0.75,0.3,1.92
-0,0.05,0.01,0.1,-0.04,-0.75,0.3,1.92,-0.92,-0.99,0.74
-0,2.41,0.4,0.31,0.19,0.23,0.07,-0.1,0.12,-1.38,4.75
-0,-2.17,0.31,-0.23,-0.56,-0.19,0.55,0.83,0.84,0.66,0.67
-0,0.67,0.66,2.46,0.53,1.29,0.21,0.21,0.73,-1.59,0.19
-0,-0.22,-0.65,-0.04,-0.2,-0.93,6.9,-2.18,-1.31,-0.86,1.21
-0,-0.53,0.31,0.42,0.6,2.2,-1.09,-0.6,-0.15,-0.18,0.26
-0,-0.15,-0.18,0.26,1.26,0.7,0.12,2.63,-0.18,-2.34,-2.74
-0,0.3,-0.09,0.16,0.14,-0.27,-0.26,-0.1,0.19,0.34,0.07
-0,-0.01,0.12,-0.11,0.64,-0.07,0.03,0.03,-0.25,0.04,-0.02
-0,-0.83,0.07,-0.46,6.16,-2.15,-0.28,-0.52,0.48,0.05,0.08
-0,-0.1,0.2,-0.02,0.01,-0.53,-0.26,-0.14,-0.05,0.08,0.13
-0,0.19,0.09,-0.12,-0,0.06,-0.08,0.19,-0.15,0.12,0.24
-0,0.19,-0.15,0.12,0.24,-0.06,-0.07,-0.93,0.14,-0.39,0.03
-0,-0.65,-0.06,0.06,0.35,-0.06,0.07,-0.06,-0.1,-0.1,0.15
-0,-0.16,-0.39,0.16,0.16,-0.12,-0.02,-0.11,0.01,-0.04,-0.79
-0,-0.15,-0.3,0.09,0.25,-0.18,-0.12,0.12,0.01,-0.01,-0.05
-0,0.01,-0.01,-0.05,-0.06,-0.7,-0.58,-0.66,-0.21,-0.44,-1.24
-0,-0.36,0.19,-0.49,-0.92,6.95,-2.14,-0.75,-0.03,0.75,1.42
-0,-0.91,1.01,-0.03,0.64,0.49,0.34,-2.03,0.33,0.62,-0.07
-0,0.33,0.62,-0.07,-1.99,-0.18,1.4,0.6,-1.04,0.4,0.68
-0,-0.91,8.75,-1.01,0.3,8.21,-0.55,-0.55,-1.11,0.01,-0.25
-0,0.03,0.2,-0.04,-0.25,1.39,-0.07,-0.46,1.61,-1.49,-0.53
-0,1.61,-1.49,-0.53,-0.52,-0.25,-0.11,0.04,-0.09,-0.07,0.04
-0,0.3,0.02,-0.12,0.09,-0.16,-0.01,0.15,0.16,-0.11,0.17
-0,-0.24,-0.42,-0.63,-0.54,8.6,-2.71,0.05,0.19,0.29,-0.39
-0,-0.11,-0.99,0.34,0.89,1.56,1.77,-0.83,0.1,-1.14,-1.79
-0,0.89,1.56,1.77,-0.83,0.1,-1.14,-1.79,-1.93,-0.3,2
-0,-0.3,0.23,-0.29,0.16,-0.28,-0.34,0.29,0.32,0.88,-0.39
-0,-0.04,-0.1,-0.09,-0.09,-0.27,-0.11,-0.3,-0.92,0.29,-0.03
-0,-0.49,-0.73,0.74,-0.31,0.83,-0.11,-1.06,-0.56,1.07,0.59
-0,-0.31,0.83,-0.11,-1.06,-0.56,1.07,0.59,0.25,-0.19,-0.64
1,-0.25,-0.24,-0.16,-0.18,-0.28,-0.23,-0.29,-0.14,-0.22,-0.18
1,-0.17,-0.18,-0.15,-0.17,-0.19,-0.1,-0.24,-0.25,-0.19,-0.27
1,-0.23,-0.23,-0.16,-0.24,-0.19,-0.3,-0.13,-0.27,-0.23,-0.25
1,-0.24,-0.21,-0.23,-0.24,-0.19,-0.12,-0.23,-0.28,-0.13,-0.28
1,-0.24,-0.19,-0.12,-0.23,-0.28,-0.13,-0.28,-0.26,-0.22,-0.2
1,0.01,-0.16,-0.19,-0.1,-0.1,-0.22,-0.11,-0.23,-0.3,-0.21
1,-0.26,-0.25,-0.18,-0.2,-0.15,-0.18,-0.15,-0.29,-0.23,-0.17
1,-0.32,-0.16,-0.15,-0.19,-0.24,-0.28,-0.14,-0.26,-0.16,-0.3
1,-0.26,2.17,0.14,0.18,-0.35,-0.28,1.08,-0.69,0.19,0.11
1,-0.24,1.4,-0.09,-0.42,0.65,0.02,-0.4,1.28,0.24,0.77
1,-0.4,1.28,0.24,0.77,-1.02,-0.98,-1.84,-0.1,0.32,0.98
1,1.63,-0.32,-0.49,1.64,0.31,-0.24,-1.5,2.99,6.05,1.82
1,-1.05,0.05,0.16,-1.82,2.58,1.04,1.07,-1.13,-0.61,1.61
1,1.61,0.45,-0.76,0.74,-0.75,0.16,1.31,-0.68,-1.02,-0.97
1,1.21,-1.18,2.25,0.5,1.67,-2.73,0.03,0.48,3.54,-0.56
